N,omega_str,omega,run_name,run_dir,f_ckpt,bf_ckpt,layer,view,n,F,eff_rank,pr,idim,expvar_pc1,expvar_pc2,expvar_pc3,expvar_cum3,expvar_cum10,note
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,node_update@node_update,node_instances,1024,128,1.4965689859795563,1.2422898757277465,1.6676927963525146,0.8926813698821776,0.08888530688120992,0.012145479041476448,0.9937121558048639,0.9999918534142097,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,node_update@node_update,edge_instances,,,,,,,,,,,empty
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,rho_e_to_v@rho_e_to_v,pooled_BxH,512,128,1.0276645443069456,1.0072546178475585,2.6148195161855425,0.9963890068469563,0.0023749444939159276,0.0009560914911752939,0.9997200428320475,0.9999959912601396,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,rho_e_to_v@rho_e_to_v,node_instances,,,,,,,,,,,empty
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,rho_e_to_v@rho_e_to_v,edge_instances,1024,128,1.2857067326532248,1.1106028153590923,1.7525172231824437,0.9482121570385422,0.03211022099594591,0.01646904752560704,0.9967914255600953,0.9999567839638269,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,pooled_BxH,1024,128,1.995616309958247,1.9912676880681621,0.929659903902087,0.5331108113577437,0.4668891884047463,1.8703618058262514e-12,0.9999999997643604,0.9999999997774517,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,node_instances,,,,,,,,,,,empty
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,edge_instances,2048,128,1.8281499012116857,1.4641220969557454,0.8846227657442808,0.8159220260631027,0.10492394468348215,0.07915402923840774,0.9999999999849926,0.9999999999858267,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,dx_head@dx_head,pooled_BxH,512,2,1.0799872779736972,1.029991310909911,2.1934315555002764,0.9852226173507349,0.014777382649148019,nan,nan,nan,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,dx_head@dx_head,node_instances,1024,2,1.2458861680570699,1.1214158378883972,1.3244432388351757,0.9425663061010233,0.05743369389888827,nan,nan,nan,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,dx_head@dx_head,edge_instances,,,,,,,,,,,empty
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,edge_embed@edge_embed,pooled_BxH,512,128,1.3632575653475627,1.182718737330867,2.049199091961503,0.9160687253856127,0.07948453438746361,0.0029732195819581896,0.9985264793550345,0.999999765378129,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,edge_embed@edge_embed,node_instances,,,,,,,,,,,empty
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,edge_embed@edge_embed,edge_instances,1024,128,2.485881667335707,1.8258527435292962,1.3032408981522074,0.7219385144567116,0.1196300610209212,0.08760564323640528,0.9291742187140382,0.999918714400558,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,edge_update@edge_update,pooled_BxH,512,128,2.1053161905804365,1.6546897431805312,3.118856912188834,0.7519531282870585,0.19319015431790332,0.038388251853809355,0.9835315344587712,0.9997688551298987,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,edge_update@edge_update,node_instances,,,,,,,,,,,empty
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,edge_update@edge_update,edge_instances,1024,128,2.7135915854148207,1.911993483192399,2.2020187159857523,0.6953253616160414,0.18847817737289413,0.055883794550409344,0.939687333539345,0.9986507565971905,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,node_embed@node_embed,pooled_BxH,512,128,1.9990229037344678,1.998047540258802,2.246347043401334,0.5156299721183866,0.4843700277307756,1.1877784598292621e-12,0.99999999985035,0.9999999998586642,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,node_embed@node_embed,node_instances,1024,128,2.4602642063227234,2.1007191808622587,1.3660907419194623,0.6414283320991516,0.19174229290995676,0.16682937496133046,0.9999999999704389,0.9999999999720816,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,node_embed@node_embed,edge_instances,,,,,,,,,,,empty
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,node_update@node_update,pooled_BxH,512,128,1.1222608941079566,1.0409685947431349,2.8424471773380655,0.9800168202714842,0.013550064308072384,0.005157229652516916,0.9987241142320735,0.9999826930540088,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,node_update@node_update,node_instances,1024,128,1.2859400570002184,1.1039756166960952,1.8713169156036689,0.9511974614265516,0.030337032579738077,0.009293190692623335,0.990827684698913,0.9999089978119713,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,node_update@node_update,edge_instances,,,,,,,,,,,empty
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,rho_e_to_v@rho_e_to_v,pooled_BxH,512,128,1.5488663252543802,1.2773250759424501,2.8265814672896887,0.878746823635332,0.10236397935972286,0.014177030255789943,0.9952878332508448,0.9999604550667244,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,rho_e_to_v@rho_e_to_v,node_instances,,,,,,,,,,,empty
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,rho_e_to_v@rho_e_to_v,edge_instances,1024,128,1.7998081299215152,1.384037136992851,2.1640296755704034,0.8417071959401016,0.11582958780041122,0.02298179076834707,0.9805185745088598,0.9997480574991334,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,rho_v_to_e@rho_v_to_e,pooled_BxH,1024,128,1.964905436742801,1.931999975465194,0.9397815611509512,0.5938039189564928,0.4061960808352239,1.6401060998529207e-12,0.9999999997933567,0.9999999998048373,
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,rho_v_to_e@rho_v_to_e,node_instances,,,,,,,,,,,empty
2,0p01,0.01,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,rho_v_to_e@rho_v_to_e,edge_instances,2048,128,2.7751133297192982,2.582809722321915,0.9134481884385068,0.5172005462657956,0.28096731917608675,0.20183213450579673,0.9999999999476791,0.9999999999505861,
2,0p001,0.001,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_001.pt,../results/models/2p/w_00/backflowCTNN_001.pt,dx_head@dx_head,pooled_BxH,512,2,1.0936266389291118,1.0363109666849908,2.3821713701561134,0.9821624838155405,0.017837516184116626,nan,nan,nan,
2,0p001,0.001,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_001.pt,../results/models/2p/w_00/backflowCTNN_001.pt,dx_head@dx_head,node_instances,1024,2,1.4391216538929232,1.264217882648221,1.3737271342823163,0.8814465172058173,0.11855348279390603,nan,nan,nan,
2,0p001,0.001,w_00,../results/models/2p/w_00,../results/models/2p/w_00/f_netCTNN_001.pt,../results/models/2p/w_00/backflowCTNN_001.pt,dx_head@dx_head,edge_instances,,,,,,,,,,,empty
