file,N,omega,idx,corr
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,2,0.12604548492767884
analysis_CTNN_N20_omega_0.001.json,20,0.001,2,0.12604548492767884
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,3,-0.5472397775841535
analysis_CTNN_N20_omega_0.001.json,20,0.001,3,-0.5472397775841535
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,4,-0.34863479539057
analysis_CTNN_N20_omega_0.001.json,20,0.001,4,-0.34863479539057
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,5,0.633844910227537
analysis_CTNN_N20_omega_0.001.json,20,0.001,5,0.633844910227537
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,6,0.6230165763080071
analysis_CTNN_N20_omega_0.001.json,20,0.001,6,0.6230165763080071
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,7,0.6408973367782378
analysis_CTNN_N20_omega_0.001.json,20,0.001,7,0.6408973367782378
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,8,-0.6432965391369447
analysis_CTNN_N20_omega_0.001.json,20,0.001,8,-0.6432965391369447
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,9,-0.6386207983617935
analysis_CTNN_N20_omega_0.001.json,20,0.001,9,-0.6386207983617935
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,10,0.6681343152147894
analysis_CTNN_N20_omega_0.001.json,20,0.001,10,0.6681343152147894
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,11,0.6648431305379607
analysis_CTNN_N20_omega_0.001.json,20,0.001,11,0.6648431305379607
analysis_CTNN_N20_omega_0.01.json,20,0.01,0,0.10224265642747
analysis_CTNN_N20_omega_0.01.json,20,0.01,1,-0.08381642527029223
analysis_CTNN_N20_omega_0.01.json,20,0.01,2,-0.024556539410944777
analysis_CTNN_N20_omega_0.01.json,20,0.01,3,-0.10733450742721921
analysis_CTNN_N20_omega_0.01.json,20,0.01,4,-0.08877006243170404
analysis_CTNN_N20_omega_0.01.json,20,0.01,5,0.12378797576721366
analysis_CTNN_N20_omega_0.01.json,20,0.01,6,0.12427422972531772
analysis_CTNN_N20_omega_0.01.json,20,0.01,7,0.12450669120146297
analysis_CTNN_N20_omega_0.01.json,20,0.01,8,-0.12438036000726621
analysis_CTNN_N20_omega_0.01.json,20,0.01,9,-0.12278133075799325
analysis_CTNN_N20_omega_0.01.json,20,0.01,10,0.11587145826190026
analysis_CTNN_N20_omega_0.01.json,20,0.01,11,0.12928659622320565
analysis_CTNN_N20_omega_0.5.json,20,0.5,0,0.13426938970568847
analysis_CTNN_N20_omega_0.5.json,20,0.5,1,0.037531176251786084
analysis_CTNN_N20_omega_0.5.json,20,0.5,2,0.0869428365478436
analysis_CTNN_N20_omega_0.5.json,20,0.5,3,-0.10591769610477793
analysis_CTNN_N20_omega_0.5.json,20,0.5,4,-0.021777255394599435
analysis_CTNN_N20_omega_0.5.json,20,0.5,5,0.19646503777575866
analysis_CTNN_N20_omega_0.5.json,20,0.5,6,0.27911680485141366
analysis_CTNN_N20_omega_0.5.json,20,0.5,7,0.21764744035771896
analysis_CTNN_N20_omega_0.5.json,20,0.5,8,-0.2707516292962981
analysis_CTNN_N20_omega_0.5.json,20,0.5,9,-0.2073627250791094
analysis_CTNN_N20_omega_0.5.json,20,0.5,10,0.11618039744779285
analysis_CTNN_N20_omega_0.5.json,20,0.5,11,0.19786404893342815
analysis_CTNN_N20_omega_1.0.json,20,1.0,0,0.3065303272776086
analysis_CTNN_N20_omega_1.0.json,20,1.0,1,0.11873901881753991
analysis_CTNN_N20_omega_1.0.json,20,1.0,2,-0.0006810084979468936
analysis_CTNN_N20_omega_1.0.json,20,1.0,3,-0.16547995555945066
analysis_CTNN_N20_omega_1.0.json,20,1.0,4,-0.2661462165721773
analysis_CTNN_N20_omega_1.0.json,20,1.0,5,0.3894605008137468
analysis_CTNN_N20_omega_1.0.json,20,1.0,6,0.4067960277138185
analysis_CTNN_N20_omega_1.0.json,20,1.0,7,0.38186637187488753
analysis_CTNN_N20_omega_1.0.json,20,1.0,8,-0.39531678575098794
analysis_CTNN_N20_omega_1.0.json,20,1.0,9,-0.3825952420856732
analysis_CTNN_N20_omega_1.0.json,20,1.0,10,0.2852662635827458
analysis_CTNN_N20_omega_1.0.json,20,1.0,11,0.38991476293317373
