ansatz,N,omega,ell,dx_mean_mag,dx_std_mag,dx_max_mag,dx_mean_over_ell,dx_effective_rank,bf_head_delta_mae,com_shift_mean,com_shift_max,dx_up_mean,dx_dn_mean,spin_asymmetry,cka_nobf_vs_bf,eff_rank_noBF,eff_rank_BF,rank_change,pc1_alignment_cos,nf_share_q01,nf_conc_q01,nf_share_q05,nf_conc_q05,nf_share_q10,nf_conc_q10,radial_fraction,radial_proj_mean,tangential_mag_mean,dx_sv_1,dx_sv_2,dx_sv_3,dx_sv_4,dx_sv_5,dx_sv_6,dx_sv_ratio_1_2
bf,6,0.01,10.0,0.17697148744268698,0.08235979600310259,0.586011810276126,0.017697148744268698,9.258337810865829,0.0911806493688384,2.2256418583526992e-17,1.2729713492399645e-16,0.1770050268627068,0.17693794802266716,0.00037903755576090153,0.9996222853660583,3.177402031350554,3.1768741360367656,-0.0005278953137883846,0.9999994394005327,0.009536049054476834,0.9536049054476834,0.04972304788178739,0.9944609576357478,0.0987960761750018,0.987960761750018,0.5219658025727306,0.1180130047596288,0.10808036031898549,18.25020413738875,18.195026694092707,18.06115669033924,17.992641589258152,15.642265708140865,8.373498113394396,1.0030325563256226
bf,6,0.1,3.162277660168379,0.47796492405143437,0.2903259572752544,2.281008138344589,0.1511457801671927,9.982614143564785,0.6146303487104365,1.964235673479781e-17,1.1140712962147224e-16,0.4771116771430733,0.4788181709597954,0.003570332739601771,0.9938756227493286,4.701089934097691,4.461949266583327,-0.23914066751436458,0.9996146537974557,0.011188818243352036,1.1188818243352037,0.0788834939651716,1.5776698793034318,0.16459556440260883,1.6459556440260883,0.4127037270223337,0.2481177040552063,0.35308283717901146,44.226362183523634,42.71681233202245,39.22805738546199,39.08920149095045,38.8679224065184,38.28355519238119,1.0353385416441656
bf,6,0.5,1.414213562373095,0.17298347850216422,0.09547117076932037,0.6350271792810316,0.12231779068211769,9.994034804760817,0.16124260970038984,7.140197003490153e-18,3.925231146709438e-17,0.1732666963533822,0.17270026065094624,0.003274507527196522,0.9922528266906738,6.50653784045718,6.283190023422305,-0.22334781703487483,0.9996098185661625,0.011142287812281156,1.1142287812281155,0.05734653279508398,1.1469306559016796,0.11507300751887077,1.1507300751887077,0.5073957835495808,0.11179843385296631,0.10853929357326343,14.338546412102245,14.232206761140985,14.150890881972195,14.127977853769574,14.097545809288551,14.000387548823138,1.0074717612486916
bf,6,1.0,1.0,0.19511074690306876,0.08378804007173807,0.5841193065455436,0.19511074690306876,9.907170814636338,0.25155813436455743,7.87859155226892e-18,3.814638998768531e-17,0.1950828970066006,0.19513859679953693,0.0002854778315415889,0.9988203644752502,4.0419616194230485,4.205078183228806,0.16311656380575723,0.9932532235343154,0.00866374691132826,0.866374691132826,0.04518206187533498,0.9036412375066996,0.08997444760347949,0.8997444760347948,0.8573553292258586,0.18986100968965874,0.03158860777652205,16.131715379425263,16.049129264532315,15.815863315345643,15.730973285768059,15.621267074257045,15.591503290827708,1.0051458314985011
ctnn,12,0.001,31.622776601683796,0.5330623837872801,0.23093843707972064,1.2924235695780963,0.016856912677266186,21.89717859315506,0.831043511115642,3.5494943236679996e-17,1.3014922723994865e-16,0.5315997171600195,0.5345250504145409,0.005487787815260173,0.9997825622558594,3.452469687723032,3.4549734642750782,0.002503776552046144,0.9999998879896594,0.008752660176346282,0.8752660176346282,0.04685282469206226,0.9370564938412452,0.09515201345342894,0.9515201345342894,0.6089906692226054,0.4119734226421933,0.2645121845479611,15.86514941054222,15.816195221784245,15.533976247219373,15.144136848400347,14.914766005016334,14.78346243623558,1.0030951937600359
ctnn,12,0.01,10.0,0.2959962995517606,0.1318910952266202,0.7349904859463084,0.02959962995517606,21.913939405878985,0.316124902161309,1.3061150397063132e-17,4.188957115503589e-17,0.29675465969718035,0.2952379394063408,0.005124119095868355,0.9979024529457092,3.0373811419786585,3.0165028956649182,-0.020878246313740245,0.9999987210760002,0.01269740424895441,1.269740424895441,0.060008319339376774,1.2001663867875354,0.11645442094737553,1.1645442094737553,0.5141664503933223,0.19398519634952283,0.18329573320379458,9.129072044465387,8.727671321203221,8.530307441447164,8.310554261917858,8.131346646219876,8.124448691544368,1.0459917323292174
ctnn,12,0.1,3.162277660168379,0.3047562320563647,0.1491592836167431,0.806251610640406,0.09637238244289327,21.907376452398715,1.3783664160114562,1.1308358624667408e-17,3.788251970023304e-17,0.3057225896595537,0.30378987445317573,0.006341839815175586,0.9925060868263245,6.303437881738991,6.125782002382558,-0.17765587935643268,0.999041431089873,0.009492504806682418,0.9492504806682417,0.05444522825483007,1.0889045650966014,0.11351835032100255,1.1351835032100255,0.47674081418372566,0.18430464315318876,0.2022883181999402,9.51748063894363,9.358908879153173,8.767077151375451,8.664980192884201,8.58195895521854,8.488491119878551,1.0169434024668915
ctnn,12,0.5,1.414213562373095,0.13612589374887968,0.06673548915688542,0.37868300254497467,0.09625554256491228,21.891380040260923,0.9960420051633574,4.845985355380941e-18,1.9073194993842656e-17,0.13762266622068922,0.1346291212770701,0.021991003042679758,0.9926934242248535,4.668805167746968,4.682576747709728,0.013771579962759795,0.9993419865231862,0.012890673127328918,1.2890673127328918,0.052895308805908856,1.057906176118177,0.1010116863730204,1.0101168637302038,0.5209997189948818,0.09014147783041304,0.08287488771449436,4.429044559998343,4.318759969772169,3.9198241319299627,3.878760039626052,3.7981413166289233,3.744221634611313,1.0255361703354844
ctnn,12,1.0,1.0,0.09126556007164721,0.044615997369468745,0.2572078914905276,0.09126556007164721,21.9145026299277,0.7967680184316954,4.1322866409173485e-18,1.683863671016777e-17,0.09184802514326734,0.0906830950000271,0.012764181168950584,0.995492160320282,5.161599204880902,5.3192516949508635,0.15765249006996118,0.9994709213471522,0.011286172844858708,1.1286172844858708,0.05321674439982945,1.064334887996589,0.11007789402643012,1.1007789402643011,0.5657790229349262,0.06558673435097685,0.05033614665431597,2.756616947754009,2.71754612231799,2.651039726396803,2.6286671657530567,2.553815033938971,2.543943065003343,1.0143772446455086
ctnn,20,0.001,31.622776601683796,0.7421582035448232,0.29494311536351187,1.591323178490476,0.02346910307380491,37.68058057193248,4.56682385420946,4.830420390474522e-17,1.669031177528358e-16,0.6901200962858147,0.7941963108038316,0.14023454031891072,0.9992405772209167,4.823399193729649,4.825810377434373,0.0024111837047238183,0.999989377669477,0.0114029655212604,1.14029655212604,0.05486266199876879,1.0972532399753758,0.10520541320882718,1.0520541320882717,0.5096197305797877,0.48009071506470974,0.46196605051325623,22.599574364805136,22.229208970315867,21.759444389064225,21.428197309368365,21.381067106704904,21.19261552376827,1.016661204408301
