bfarch,seed,omega,error_pct,error_pct_raw,var_EL,deff,dx_mag,alive,bf_rank,T_full,Vc_full,dE_backflow,dT_backflow,dVc_backflow,err_pct_nobf,dE_msg,dT_msg,dVc_msg,dE_bf_over_w,dE_msg_over_w,N
conv,0,0.1,0.1920645780238363,0.1920645780238363,0.03807143301539253,4.080211979646013,0.1039526360589118,True,37.64626324425248,1.4210559631262643,18.12560430918871,0.0659272930652115,0.05364507654372486,0.007441868592984235,0.407197979656866,nan,nan,nan,0.659272930652115,nan,20
conv,0,0.28,0.1358403370285422,0.13552262856735342,0.1410909981713132,3.8965884962921113,0.09213901748665532,True,38.273362703989626,4.088769810851296,35.62582658806223,0.14769300729574297,0.42184900475415965,-0.09803737565996329,0.3534986388160959,nan,nan,nan,0.5274750260562249,nan,20
conv,0,0.5,0.07469265173412333,0.07380937963575006,0.3099668484142573,3.1909076868354878,0.07847298157053346,True,38.67386002399082,8.741241789958536,51.90013587409102,0.14543019498913168,-0.11821610674647332,0.14660736258612417,0.22106193601025853,nan,nan,nan,0.29086038997826336,nan,20
conv,0,1.0,0.07020370410076461,0.07107256423009253,0.8887659502775466,2.7898011182396893,0.07452413255303621,True,37.10147418128171,16.391573742897272,81.08602301716641,0.14791061981421194,0.8068001049278308,-0.25835354554703827,0.17635226951968408,nan,nan,nan,0.14791061981421194,nan,20
conv,1,0.1,0.1719344792008673,0.1719344792008673,0.03659051991800358,5.136244977927873,0.10497072016351329,True,37.63456239610592,1.496543760426926,18.11456371527447,0.07634458930055033,0.024415131144447155,-0.09052246563895494,0.4055038899246093,nan,nan,nan,0.7634458930055033,nan,20
conv,1,0.28,0.096044928231112,0.0978684303595579,0.1422149869974034,4.14685346464545,0.09394384597659527,True,38.0613295420505,3.9876201716587474,35.57309229668473,0.156455237513633,0.9166241479508379,-0.08663265075289672,0.34235559363238,nan,nan,nan,0.5587687054058321,nan,20
conv,1,0.5,0.05578544566133536,0.0566873169865396,0.3100071652406034,3.7376334173565886,0.07611971930057133,True,38.69413942172889,7.814791846196217,51.92022770315202,0.1782784013403358,0.5769125286677994,0.24148244524916151,0.2682158182708314,nan,nan,nan,0.3565568026806716,nan,20
conv,1,1.0,0.07106904268774071,0.07081222234913466,1.1121233804613344,3.212399161578861,0.10632750583338216,True,33.69318460466867,16.81280932055273,80.9002973875738,0.3662612711586348,-0.6527091526222364,0.13188117663585786,0.28892704043480333,nan,nan,nan,0.3662612711586348,nan,20
ctnn,0,0.1,0.0132729267277522,0.014698258911787328,0.009440928292063338,5.102318910163516,0.11667579061026409,True,32.83587830379708,1.3583168810962198,18.046704643914182,0.11223573727576053,0.1943581631938085,0.33722612343089153,0.3998775663058459,0.16277810554937133,0.33427143624433486,0.28639481347042306,1.1223573727576053,1.6277810554937133,20
ctnn,0,0.28,-0.00517576342803969,-0.006315091629298462,0.04259056920821331,4.040277377888338,0.12239576131853801,True,36.881737179119696,4.540129181719942,35.68049190633964,0.24057524659831842,0.27528891518629894,0.42011834492655,0.4005440176875351,0.47128771977222783,0.8659876161625855,0.9392418063467574,0.8591973092797085,1.6831704277579564,20
ctnn,0,0.5,0.01200449211477873,0.013027316359314273,0.11614398041669323,3.8905798651701633,0.1074393673542989,True,36.88247554859986,7.807623755547694,51.85401364107034,0.2693315163381129,0.4153817015318291,0.36477837032046523,0.2772935361691933,1.2445248077145266,1.7684166719642045,0.8895472878198873,0.5386630326762258,2.489049615429053,20
ctnn,0,1.0,0.0504620966587801,0.05057015427946428,0.717167007114395,3.4852863881908807,0.05159134737705116,True,36.91773934392789,20.170489094954597,81.17023923598589,0.26725095769802465,-2.6163904221816594,-0.39574022614496585,0.2318728462274737,1.581136984534055,0.41787117553261055,2.758987989739353,0.26725095769802465,1.581136984534055,20
ctnn,1,0.1,0.029888591891723673,0.028790952872251932,0.011063998057240511,4.268926407775919,0.11386953774772866,True,34.67440059447117,1.3426887406301562,18.066416119234574,0.11331296751605535,0.29575500968756274,0.3730900636135317,0.39511852380414497,0.11225856485817332,0.25301528606804835,0.13363096697523602,1.1331296751605535,1.1225856485817332,20
ctnn,1,0.28,0.050522126521483385,0.050542052590128596,0.09095107194321965,3.6760125422349526,0.10710312946896881,True,36.667857454850946,4.680390409904016,35.721395058706676,0.26940744748505097,-0.03459254547801116,0.17920022386407908,0.4668432754779316,0.22845149082299088,-0.03490401904700313,0.07473514233304712,0.9621694553037533,0.8158981815106816,20
ctnn,1,0.5,0.07401629108115547,0.07401629108115547,0.258507086457124,3.389637509026721,0.08485887830999603,True,36.8621789281575,7.818107041709805,51.990541072237974,0.24021764171924076,1.019481352276994,0.09353312671886727,0.2565315784094724,0.33285644423153826,1.0001859829336688,0.5233496267765076,0.4804352834384815,0.6657128884630765,20
ctnn,1,1.0,0.0716693329430511,0.0717392082058202,0.8274337316358834,3.509430790235289,0.04482700289563155,True,36.85294282647658,20.17471255739983,81.07734658405809,0.2643703738044394,-3.6259717985331115,-0.5567493881747794,0.21728050948165373,0.51092288962937,-2.004740918944705,1.889949006599295,0.2643703738044394,0.51092288962937,20
